voice_id,name,language,accent,use_case,description
6adFm46eyy74snVn6YrT,Nhật - Narrative & Compelling,Vietnamese,Northern,Narration,"Articulate Vietnamese voice suited for news reports, documentaries, and compelling story narration."
w2KTJ6MO4SIK6nWK4YH8,Đuc Huy,Vietnamese,Southern,Entertainment,"A warm, expressive young male voice with a distinctive Southern Vietnamese accent. Clear pronunciation, calm delivery, and a natural storytelling tone make it ideal for TV voice-overs, news narration, documentaries, podcasts, and inspirational content. The voice feels trustworthy, grounded, and emotionally engaging, with a smooth flow that remains comfortable for long listening sessions."
A5w1fw5x0uXded1LDvZp,Nhu - Calm and Confident,Vietnamese,Standard,Educational,"Nhu – Calm and Confident - Native Vietnamese female voice with a clear and authentic Hanoi accent. Suitable for general-purpose text-to-speech, narration, and creative voice applications."
RxhjHDfpO54FYotYtKpw,"Phong - Warm, Clear and Expressive",Vietnamese,Northern,Narration,"Nhật Phong - Podcast - Warm and clear tone, natural expressiveness. Great for podcasts, storytelling, and educational content."
